customer_id,registration_date,city,age,gender,preferred_payment,snapshot_date,customer_lifetime_days,orders_total,orders_amount_total,orders_amount_mean,orders_quantity_total,orders_cancelled_total,delivered_orders_total,delivered_amount_total,delivered_amount_mean,delivered_orders_30d,delivered_amount_30d,delivered_orders_90d,delivered_amount_90d,days_since_last_order,visits_total,pages_viewed_total,pages_viewed_mean,cart_adds_total,checkout_initiated_total,session_duration_mean,visits_30d,cart_adds_30d,checkout_initiated_30d,visits_90d,cart_adds_90d,checkout_initiated_90d,days_since_last_visit,support_tickets_total,support_rating_mean,support_resolution_days_mean,support_tickets_90d,days_since_last_ticket,churn_flag
1,2022-10-31,Уфа,70,Ж,card,2023-04-01,152,7.0,112245.0,16035.0,15.0,2.0,2.0,42324.0,21162.0,0.0,0.0,0.0,0.0,92.0,7.0,78.0,11.142857142857142,11.0,3.0,222.0,2.0,3.0,1.0,7.0,11.0,3.0,7.0,3.0,1.6666666666666667,5.0,0.0,150.0,0
3,2022-11-12,Казань,18,M,online,2023-04-01,140,6.0,145297.0,24216.166666666668,14.0,2.0,4.0,103624.0,25906.0,0.0,0.0,0.0,0.0,222.0,2.0,40.0,20.0,5.0,1.0,584.0,1.0,2.0,0.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0
4,2022-11-24,Омск,52,M,online,2023-04-01,128,17.0,232974.0,13704.35294117647,34.0,2.0,14.0,200683.0,14334.5,0.0,0.0,1.0,2284.0,38.0,7.0,96.0,13.714285714285714,13.0,2.0,400.0,0.0,0.0,0.0,7.0,13.0,2.0,36.0,2.0,4.5,5.5,1.0,81.0,0
5,2022-02-16,Пермь,65,M,card,2023-04-01,409,8.0,113092.0,14136.5,14.0,1.0,3.0,56229.0,18743.0,0.0,0.0,1.0,11756.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2022-01-25,Челябинск,19,Ж,online,2023-04-01,431,22.0,384226.0,17464.81818181818,47.0,2.0,14.0,229913.0,16422.35714285714,3.0,51971.0,5.0,64958.0,1.0,6.0,69.0,11.5,10.0,5.0,171.66666666666666,4.0,8.0,4.0,6.0,10.0,5.0,12.0,2.0,3.0,4.0,0.0,282.0,0
7,2023-02-01,Санкт-Петербург,35,M,online,2023-04-01,59,11.0,181166.0,16469.636363636364,21.0,2.0,7.0,128691.0,18384.428571428572,0.0,0.0,1.0,8140.0,58.0,2.0,26.0,13.0,2.0,1.0,167.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,2022-09-23,Нижний Новгород,41,Ж,online,2023-04-01,190,15.0,239377.0,15958.466666666667,32.0,2.0,11.0,193514.0,17592.18181818182,0.0,0.0,2.0,42037.0,61.0,1.0,7.0,7.0,2.0,1.0,224.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1
9,2022-04-07,Ростов-на-Дону,47,Ж,online,2023-04-01,359,12.0,194250.0,16187.5,25.0,2.0,9.0,128136.0,14237.333333333334,0.0,0.0,0.0,0.0,114.0,2.0,28.0,14.0,6.0,1.0,473.5,1.0,2.0,0.0,2.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0
11,2022-01-13,Уфа,53,Ж,card,2023-04-01,443,9.0,59303.0,6589.222222222223,15.0,0.0,6.0,41193.0,6865.5,1.0,2667.0,1.0,2667.0,26.0,12.0,167.0,13.916666666666666,22.0,3.0,320.5,1.0,1.0,0.0,12.0,22.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,1
12,2022-09-04,Новосибирск,68,Ж,card,2023-04-01,209,5.0,50267.0,10053.4,9.0,0.0,4.0,48626.0,12156.5,0.0,0.0,0.0,0.0,213.0,7.0,92.0,13.142857142857142,10.0,2.0,327.57142857142856,1.0,0.0,0.0,7.0,10.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,1
