order_id,customer_id,order_date,product_name,category,quantity,price,amount,status,delivery_days
1,1,2022-12-30,Видеокарта RTX,food,3,12586.00,37758.00,delivered,8
2,1,2023-08-14,Конструктор Lego,beauty,1,6080.00,6080.00,delivered,3
3,1,2023-09-14,Джинсы классические,books,1,4812.00,4812.00,cancelled,0
4,1,2022-04-09,Игрушка мягкая,toys,1,4566.00,4566.00,delivered,9
5,1,2023-11-02,Игрушка мягкая,beauty,2,2353.00,4706.00,delivered,4
6,1,2022-04-23,Монитор 27 дюймов,food,2,505.00,1010.00,cancelled,0
7,1,2023-04-29,Пылесос робот,toys,3,15383.00,46149.00,delivered,8
8,1,2022-05-20,Набор кухонных ножей,electronics,1,1720.00,1720.00,returned,0
9,1,2023-04-22,Видеокарта RTX,electronics,1,13718.00,13718.00,cancelled,0
10,1,2024-02-26,Кофе молотый 500г,beauty,1,2391.00,2391.00,returned,0
11,1,2023-03-05,Набор кухонных ножей,home,3,12675.00,38025.00,returned,0
12,1,2023-03-02,Шампунь для волос,electronics,2,10152.00,20304.00,cancelled,0
13,1,2022-05-09,Йогуртница,clothing,3,2954.00,8862.00,returned,0
14,1,2024-01-07,Конструктор Lego,clothing,1,12656.00,12656.00,delivered,4
15,2,2023-03-19,Гель для душа,books,2,10675.00,21350.00,delivered,10
16,2,2022-02-14,Электрический чайник,electronics,1,14767.00,14767.00,delivered,8
17,2,2024-02-27,Кофе молотый 500г,clothing,1,4208.00,4208.00,returned,0
18,2,2023-05-13,Пылесос робот,books,2,5086.00,10172.00,delivered,10
19,2,2022-03-22,Набор кухонных ножей,home,1,15306.00,15306.00,returned,0
20,2,2023-04-22,Гель для душа,books,3,7088.00,21264.00,delivered,4
21,2,2022-06-19,Книга 'Мастер и Маргарита',books,2,10154.00,20308.00,delivered,7
22,2,2022-11-04,Электрический чайник,food,3,15400.00,46200.00,cancelled,0
23,2,2023-02-24,Шампунь для волос,home,1,1652.00,1652.00,delivered,1
24,2,2024-03-28,Беспроводные наушники,food,2,4110.00,8220.00,delivered,6
25,2,2024-02-17,Футболка хлопок,beauty,3,7642.00,22926.00,delivered,7
26,2,2022-11-20,Монитор 27 дюймов,beauty,1,2004.00,2004.00,cancelled,0
27,2,2023-09-07,Игрушка мягкая,clothing,3,15150.00,45450.00,delivered,7
28,3,2022-03-28,Монитор 27 дюймов,books,3,5952.00,17856.00,cancelled,0
29,3,2024-01-24,Йогуртница,clothing,3,4988.00,14964.00,delivered,9
30,3,2023-09-05,Джинсы классические,clothing,2,15305.00,30610.00,delivered,6
31,3,2023-12-27,Йогуртница,toys,2,13658.00,27316.00,cancelled,0
32,3,2022-01-14,Смартфон X100,clothing,2,15333.00,30666.00,delivered,10
33,3,2023-11-17,Игрушка мягкая,books,3,14503.00,43509.00,returned,0
34,3,2023-09-01,Кофе молотый 500г,food,3,4057.00,12171.00,delivered,9
35,3,2023-10-13,Видеокарта RTX,clothing,2,9747.00,19494.00,delivered,8
36,3,2022-05-06,Набор кухонных ножей,beauty,3,10453.00,31359.00,delivered,3
37,3,2024-01-07,Пылесос робот,electronics,2,6895.00,13790.00,delivered,8
38,3,2024-02-20,Шампунь для волос,food,1,14662.00,14662.00,delivered,5
39,3,2022-11-07,Кроссовки беговые,electronics,3,7939.00,23817.00,cancelled,0
40,3,2022-06-19,Йогуртница,food,1,12389.00,12389.00,delivered,8
41,3,2023-05-09,Книга 'Мастер и Маргарита',books,3,10460.00,31380.00,delivered,1
42,3,2022-08-22,Пылесос робот,food,2,14605.00,29210.00,delivered,4
43,4,2023-07-31,Беспроводные наушники,food,1,12401.00,12401.00,delivered,10
44,4,2023-02-22,Футболка хлопок,toys,1,2284.00,2284.00,delivered,5
45,4,2022-03-07,Гель для душа,electronics,1,4319.00,4319.00,delivered,6
46,4,2022-09-25,Книга 'Мастер и Маргарита',beauty,3,4242.00,12726.00,delivered,4
47,4,2022-12-27,Кофе молотый 500г,home,1,13212.00,13212.00,delivered,8
48,4,2022-04-17,Конструктор Lego,home,1,855.00,855.00,delivered,1
49,4,2022-11-15,Йогуртница,home,2,6244.00,12488.00,delivered,9
50,4,2023-11-13,Книга 'Мастер и Маргарита',books,1,11389.00,11389.00,cancelled,0
51,4,2022-01-13,Видеокарта RTX,food,1,2173.00,2173.00,delivered,6
52,4,2022-03-27,Набор кухонных ножей,electronics,1,7400.00,7400.00,delivered,10
53,4,2023-05-16,Йогуртница,food,1,14341.00,14341.00,delivered,1
54,4,2022-01-18,Монитор 27 дюймов,food,3,6035.00,18105.00,cancelled,0
55,4,2022-09-29,Йогуртница,clothing,3,3228.00,9684.00,returned,0
56,4,2024-01-24,Книга 'Мастер и Маргарита',food,3,624.00,1872.00,cancelled,0
57,4,2023-10-17,Смартфон X100,clothing,3,13441.00,40323.00,delivered,7
58,4,2023-05-09,Монитор 27 дюймов,beauty,2,564.00,1128.00,cancelled,0
59,4,2023-08-24,Конструктор Lego,electronics,3,1784.00,5352.00,delivered,3
60,4,2022-07-13,Книга 'Мастер и Маргарита',electronics,3,10985.00,32955.00,delivered,3
61,4,2022-02-20,Шампунь для волос,toys,1,13068.00,13068.00,delivered,8
62,4,2022-01-04,Кроссовки беговые,toys,2,14128.00,28256.00,delivered,9
63,4,2024-01-15,Смартфон X100,books,3,3097.00,9291.00,delivered,8
64,4,2022-08-15,Джинсы классические,books,3,4869.00,14607.00,delivered,5
65,4,2022-02-08,Кофе молотый 500г,books,2,2251.00,4502.00,cancelled,0
66,4,2022-06-11,Пылесос робот,electronics,3,6880.00,20640.00,delivered,9
67,4,2023-06-30,Набор кухонных ножей,home,3,9390.00,28170.00,delivered,4
68,4,2024-03-01,Футболка хлопок,toys,2,514.00,1028.00,delivered,4
69,4,2023-04-27,Беспроводные наушники,clothing,2,7814.00,15628.00,delivered,8
70,4,2023-12-02,Кроссовки беговые,beauty,2,5130.00,10260.00,delivered,5
71,4,2022-09-11,Ноутбук Pro,clothing,3,11900.00,35700.00,delivered,10
72,5,2023-02-25,Гель для душа,beauty,2,5878.00,11756.00,delivered,8
73,5,2023-02-16,Видеокарта RTX,electronics,1,6051.00,6051.00,returned,0
74,5,2023-05-03,Видеокарта RTX,electronics,3,1658.00,4974.00,delivered,7
75,5,2022-02-23,Кроссовки беговые,books,3,9835.00,29505.00,delivered,7
76,5,2022-08-06,Монитор 27 дюймов,books,1,5488.00,5488.00,cancelled,0
77,5,2022-08-26,Ноутбук Pro,electronics,1,14968.00,14968.00,delivered,6
78,5,2022-06-12,Книга 'Мастер и Маргарита',electronics,2,9624.00,19248.00,returned,0
79,5,2023-11-18,Электрический чайник,electronics,2,1873.00,3746.00,cancelled,0
80,5,2022-08-06,Смартфон X100,home,3,4526.00,13578.00,returned,0
81,5,2023-12-09,Монитор 27 дюймов,beauty,1,5743.00,5743.00,returned,0
82,5,2023-09-21,Электрический чайник,home,1,7627.00,7627.00,returned,0
83,5,2022-08-13,Кофе молотый 500г,beauty,1,12498.00,12498.00,returned,0
84,5,2023-10-25,Игрушка мягкая,clothing,1,13406.00,13406.00,cancelled,0
85,6,2022-06-06,Ноутбук Pro,clothing,3,5662.00,16986.00,returned,0
86,6,2024-01-30,Пылесос робот,food,1,2665.00,2665.00,delivered,3
87,6,2022-10-07,Игрушка мягкая,electronics,3,4438.00,13314.00,cancelled,0
88,6,2022-09-24,Смартфон X100,beauty,3,12884.00,38652.00,delivered,2
89,6,2022-03-10,Кроссовки беговые,books,1,13509.00,13509.00,delivered,5
