visit_id,customer_id,visit_time,device,pages_viewed,cart_adds,checkout_initiated,session_duration_sec
1,1,2023-03-24 17:03:11,desktop,1,1,1,25
2,1,2024-01-01 04:25:06,mobile,1,4,0,37
3,1,2024-02-19 08:37:38,desktop,10,2,1,240
4,1,2023-01-09 11:23:42,mobile,24,4,1,552
5,1,2024-01-25 18:59:35,mobile,25,3,1,625
6,1,2023-09-12 02:34:58,mobile,10,3,1,320
7,1,2023-06-07 09:56:24,desktop,24,1,1,552
8,1,2023-07-31 00:38:33,mobile,22,0,0,748
9,1,2024-03-14 07:00:44,desktop,19,1,1,570
10,1,2023-04-18 17:20:35,tablet,13,0,0,377
11,1,2023-11-20 02:58:36,mobile,14,1,1,224
12,1,2024-02-08 12:58:15,tablet,25,0,0,850
13,1,2023-11-12 09:14:15,desktop,5,2,1,180
14,1,2024-01-01 12:32:46,mobile,12,3,0,360
15,1,2023-11-28 12:55:08,desktop,6,3,1,168
16,1,2023-09-17 18:06:08,desktop,4,4,0,148
17,1,2023-08-22 17:28:55,mobile,18,3,0,342
18,1,2024-02-15 23:31:36,mobile,19,4,1,589
19,1,2023-05-01 16:01:01,desktop,1,2,1,34
20,1,2024-01-10 21:35:51,desktop,25,2,0,650
21,1,2023-06-13 07:07:37,tablet,21,3,1,210
22,1,2024-02-15 20:25:28,desktop,13,2,0,468
23,1,2023-02-17 08:57:41,desktop,3,0,0,93
24,1,2023-09-28 02:39:36,desktop,19,0,0,323
25,1,2024-01-13 07:52:01,mobile,3,2,1,39
26,1,2023-05-18 09:37:48,mobile,4,2,1,96
27,1,2023-08-18 21:50:48,tablet,19,3,1,551
28,1,2023-01-27 14:26:54,tablet,20,0,0,200
29,1,2023-10-16 12:00:15,mobile,18,0,0,666
30,1,2023-11-04 17:33:59,tablet,14,3,1,448
31,1,2024-01-07 16:42:19,mobile,25,0,0,725
32,1,2023-01-21 00:21:47,mobile,5,3,1,130
33,1,2023-08-09 06:56:55,tablet,14,1,1,364
34,1,2023-11-27 10:18:06,desktop,18,0,0,630
35,1,2024-02-07 14:25:20,mobile,14,0,0,364
36,1,2024-03-19 00:11:57,tablet,8,4,0,160
37,1,2023-08-27 23:10:37,desktop,6,1,0,144
38,1,2023-02-19 19:19:02,tablet,6,1,0,174
39,1,2023-12-02 12:50:48,desktop,1,2,0,23
40,1,2024-02-27 21:38:10,desktop,3,4,1,33
41,1,2023-03-12 20:54:01,mobile,19,2,0,380
42,2,2024-01-22 15:24:29,tablet,6,4,0,144
43,2,2023-11-27 12:01:58,tablet,7,0,0,203
44,2,2023-09-25 14:13:18,desktop,9,2,0,189
45,2,2024-02-17 21:52:59,mobile,3,4,0,51
46,2,2023-09-18 19:47:22,tablet,1,4,0,12
47,2,2024-01-22 04:06:04,tablet,19,3,1,361
48,2,2023-01-25 02:25:33,tablet,1,1,0,16
49,2,2024-03-02 18:17:43,mobile,13,2,1,169
50,2,2023-02-20 17:09:07,mobile,11,2,1,231
51,2,2023-02-23 00:47:59,mobile,18,3,0,306
52,2,2024-02-05 01:44:45,tablet,10,3,1,260
53,2,2023-06-29 22:02:18,desktop,7,3,1,126
54,2,2024-01-28 00:52:38,tablet,15,3,1,315
55,2,2023-10-19 10:15:51,tablet,11,4,1,165
56,2,2023-01-06 02:05:56,tablet,16,4,0,304
