feature,importance
age,8.196963661679083
orders_amount_total,6.812172448629971
customer_lifetime_days,6.619411776836848
orders_amount_mean,6.482109384405871
delivered_amount_mean,6.453308781634515
orders_quantity_total,5.075088616437869
delivered_amount_total,4.908135793365978
orders_total,4.843538559321374
city,4.559240162562021
days_since_last_order,3.808006652649915
session_duration_mean,3.4844202246059957
pages_viewed_mean,3.4633805714699433
pages_viewed_total,3.2505141443132706
delivered_amount_90d,3.1393871697936193
orders_cancelled_total,2.823825724487187
delivered_orders_total,2.7760492704549007
preferred_payment,2.338680029815639
cart_adds_total,2.185392494725612
days_since_last_visit,2.034497490644518
cart_adds_90d,1.7416543827761228
checkout_initiated_total,1.6873439189495405
gender,1.4745029370512266
visits_90d,1.4575323528377524
delivered_amount_30d,1.2363295775577132
visits_total,1.213723141231842
checkout_initiated_90d,1.1718881098202087
days_since_last_ticket,1.0462037417561743
cart_adds_30d,0.9494927316385509
support_rating_mean,0.9180747302317814
delivered_orders_90d,0.9177403428329743
support_tickets_total,0.9161266201561542
support_resolution_days_mean,0.6606501209573891
visits_30d,0.4875709365580438
delivered_orders_30d,0.373442730816632
checkout_initiated_30d,0.3003750920282181
support_tickets_90d,0.19322557496553822
